,,,,pounds lb,usda #
live cow per lb,$1.40,,avg weight,1250,
,,,dressed weight,650,
cow price,"$1,750.00",,bones,100,
slaughter fee,$275.00,,dressed wt w/o bones,550,
Freight,$50.00,,,,
labor,$100.00,$6.98,Short loin,72,174
total,"$2,175.00",$6.04,loin butt sirloin,40,184b
wholesale cost,,$7.54,flank,4,193
Prime cuts value,"$1,373.63",$1.95,shank,20,market
Ground Beef cost,$801.37,$8.12,prime rib,38,109E
GB cost per LB,$2.47,$3.53,brisket,30,120
,,$6.98,short plate short ribs,8,123a
GB cost /LB no prime cuts,$3.95,$6.02,chuck short ribs,8,130
,,$8.37,Skirt steak,5,193
,,,Prime cut wt.,225,
,,,wt minus prime cuts,325,
