,,Sell prices,,pounds lb,,,
live cow per lb,$2.38,,avg weight,1424,,,
,,,dressed weight,911,,,
cow price,"$3,389.12",,bones,100,,,
slaughter fee,$250.00,,dressed wt w/o bones,845,,marrow bones,20
Freight,$50.00,,,,,rib bone,14
labor,$180.00,$11.86,Striploin bl,22,,bones usable total ,34
total,"$3,869.12",$8.50,loin butt sirloin top,26,,,
wholesale cost,,$7.50,flank,4,,,
Prime cuts value,"$2,494.81",$2.30,shank,15,,,
Ground Beef cost,"$1,374.31",$13.40,prime rib,36,,,
GB cost per LB,$2.77,$5.25,brisket,30,,,
,,$8.50,short plate short ribs,12,,,
GB cost /LB no prime cuts,$4.58,$8.25,chuck short ribs,12,,,
,,$8.30,Skirt steak,5,,,
,,$11.00,sirloin flap,8,,,
,,$8.00,cube steak/top round,20,,,
,,$6.33,oxtail,3,,,
,,$7.48,tongue,1,,,
,,$7.15,hanger,5,,,
,,$15.17,tenderloin,11,,,
,,$4.25,gooseneck flat,18,,,
,,$5.67,knuckles,14,,,
,,$5.50,chuck roll,15,,,
,,$5.40,chuckeye,6,,,
,,$1.79,fat internal,18.75,,,
,,$5.07,rib finger,3,,,
,,$8.28,chuck flap,3,,,
,,$2.00,back rib,6,,,
,,$5.01,clod,25,,,
,,$5.01,roast,6,,,
,,$6.45,picanha,6,,,
,,$2.75,belly rib,14,,,
,,$5.50, ball tip,3.5,,,
,,,Prime cut wt.,348.25,,,
,,,wt minus prime cuts,496.75,,,
