,,,,pounds lb,usda #
live cow per lb,$2.10,,avg weight,1424,
,,,dressed weight,911,
cow price,"$2,990.40",,bones,100,
slaughter fee,$225.00,,dressed wt w/o bones,811,
Freight,$50.00,,,,
labor,$150.00,$7.41,Short loin,50,174
total,"$3,415.40",$4.27,loin butt sirloin,34,184b
wholesale cost,,$7.54,flank,4,193
Prime cuts value,"$1,268.59",$1.95,shank,20,market
Ground Beef cost,"$2,146.81",$12.00,prime rib,36,109E
GB cost per LB,$3.49,$3.53,brisket,30,120
,,$6.98,short plate short ribs,8,123a
GB cost /LB no prime cuts,$4.21,$6.02,chuck short ribs,8,130
,,$8.37,Skirt steak,5,193
,,,Prime cut wt.,195,
,,,wt minus prime cuts,616,
