,,,,pounds lb,usda #
live cow per lb,$2.45,,avg weight,1424,
,,,dressed weight,911,
cow price,"$3,488.80",,bones,100,
slaughter fee,$225.00,,dressed wt w/o bones,811,
Freight,$50.00,,,,
labor,$100.00,$8.03,Short loin,50,174
total,"$3,863.80",$6.89,loin butt sirloin,34,184b
wholesale cost,,$7.69,flank,4,193
Prime cuts value,"$1,245.32",$1.95,shank,20,market
Ground Beef cost,"$2,618.48",$8.38,prime rib,36,109E
GB cost per LB,$4.44,$3.72,brisket,30,120
,,$6.74,short plate short ribs,8,123a
GB cost /LB no prime cuts,$4.76,$5.70,chuck short ribs,8,130
,,$5.40,Skirt steak,5,193
,,$5.10,chuck roll,24,
,,$6.26,chuckeye,2.65,
,,,Prime cut wt.,221.65,
,,,wt minus prime cuts,589.35,
