date,average_temperature_f,states_reporting,station_observations
2018-01-01,13.601649197996975,47,2132
2018-01-02,16.34149712320389,47,2127
2018-01-03,22.3574323484441,47,2128
2018-01-04,22.874673601164297,47,2130
2018-01-05,21.42165344568384,47,2132
2018-01-06,20.456620841085986,47,2133
2018-01-07,25.093552398019632,47,2128
2018-01-08,33.83906025144284,47,2132
2018-01-09,38.10106603511588,47,2130
2018-01-10,38.414721569564705,47,2130
2018-01-11,40.13647380028738,47,2129
2018-01-12,35.48860383010417,47,2124
2018-01-13,27.539735374098886,47,2128
2018-01-14,23.5614084425686,47,2125
2018-01-15,23.738371822904593,47,2127
2018-01-16,22.583419858896672,47,2128
2018-01-17,24.381001080127913,47,2129
2018-01-18,28.10545375320389,47,2130
2018-01-19,33.442308608418884,47,2125
2018-01-20,38.04944724839017,47,2127
2018-01-21,39.07626400822141,47,2129
2018-01-22,39.03656504167594,47,2128
2018-01-23,37.1122562540233,47,2130
2018-01-24,34.25806638582618,47,2130
2018-01-25,32.7589485384763,47,2126
2018-01-26,35.04749453718751,47,2127
2018-01-27,39.07621505151551,47,2132
2018-01-28,39.915425562343785,47,2132
2018-01-29,35.256942419078776,47,2134
2018-01-30,31.742157609706922,47,2134
2018-01-31,33.23748172514825,47,2133
2018-02-01,35.27432139468781,48,2137
2018-02-02,29.676711002916818,48,2138
2018-02-03,29.461163895577773,48,2135
2018-02-04,33.23474607199168,48,2134
2018-02-05,29.897530677306406,48,2133
2018-02-06,29.15433927983929,48,2135
2018-02-07,31.373535849482295,48,2135
2018-02-08,31.402698102709167,48,2137
2018-02-09,31.671631537887478,48,2137
2018-02-10,33.539030894665636,48,2137
2018-02-11,34.72924692582556,48,2135
2018-02-12,31.541216543144316,48,2136
2018-02-13,32.23667934093149,48,2136
2018-02-14,40.694502828646684,48,2135
2018-02-15,44.830098431815976,48,2135
2018-02-16,41.01947846535193,48,2136
2018-02-17,36.61987981938619,48,2136
2018-02-18,37.16629226098415,48,2135
2018-02-19,37.98380992931689,48,2128
2018-02-20,41.41395755686768,48,2134
2018-02-21,40.20046363754732,48,2136
2018-02-22,37.552214427638546,48,2134
2018-02-23,37.53964877639987,48,2137
2018-02-24,40.21290531723958,48,2136
2018-02-25,39.62402542815363,48,2134
2018-02-26,40.49471468320967,48,2137
2018-02-27,41.04884502798843,48,2137
2018-02-28,43.42335729908316,48,2136
2018-03-01,43.461619927385506,47,2133
2018-03-02,39.84931811042851,47,2129
2018-03-03,40.21384595652029,47,2128
2018-03-04,39.402000368156706,47,2132
2018-03-05,37.78137179720867,47,2131
2018-03-06,37.14623678799752,47,2133
2018-03-07,35.21396514699265,47,2135
2018-03-08,34.98410012698075,47,2134
2018-03-09,37.20107186515891,47,2134
2018-03-10,39.610680340861244,47,2133
2018-03-11,39.56450300508175,47,2134
2018-03-12,37.57224432705854,47,2135
2018-03-13,37.14458436337683,47,2135
2018-03-14,37.584946455516786,47,2132
2018-03-15,40.155583341284085,47,2134
2018-03-16,39.78139885756584,47,2133
2018-03-17,39.891472311953954,47,2132
2018-03-18,39.24695119548497,47,2134
2018-03-19,40.286616763467954,47,2134
2018-03-20,38.671386953251954,47,2134
2018-03-21,38.28794254586056,47,2133
2018-03-22,41.32833727467367,47,2131
2018-03-23,42.316658152699546,47,2131
2018-03-24,42.14975919015844,47,2131
2018-03-25,40.24040660193242,47,2131
2018-03-26,40.84631795054595,47,2132
